answers,background,city_left,city_right,legend,seoul,y_axis,Participant,Question
0,1,0,2,1,0,0,Participant19,7
1,0,0,5,1,2,0,Participant19,7
0,0,0,3,0,2,0,Participant19,7
3,3,3,0,1,3,0,Participant19,7
0,3,0,0,0,1,0,Participant19,7
0,1,2,3,1,0,2,Participant19,7
1,0,0,0,0,1,0,Participant19,7
