answers,background,computer,question,search_portal,social_network,software,Participant,Question
0,0,0,1,2,3,0,Participant4,1
0,0,0,0,2,0,0,Participant4,1
1,0,0,0,0,0,0,Participant4,1
2,0,0,0,3,1,0,Participant4,1
0,0,1,3,0,1,1,Participant4,1
3,1,0,0,0,0,1,Participant4,1
0,0,0,2,0,0,0,Participant4,1
