Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,2,0,0,Participant22,11
1,0,1,4,0,0,Participant22,11
1,1,0,2,0,1,Participant22,11
0,4,3,0,3,1,Participant22,11
0,0,1,3,0,0,Participant22,11
0,1,0,1,0,0,Participant22,11
